year,season,cat_id,cat_type,PM,TOG,NOx,SOx,CO,CO2,CH4,N2O,HFC,BCO2,SF6
1990,Annual,520,Area,0.005269,0.012119,0.001686,0.001054,0.408592,0,0,0,0,0,0
1990,Annual,527,Area,0.011881,0.027326,0.003802,0.002376,0.921319,0,0,0,0,0,0
1990,Annual,534,Area,0.001259,0.01,0,0.000252,0.18,0,0,0,0,0,0
1990,Annual,541,Area,0.017875,0.041112,0.00572,0.003575,1.386134,0,0,0,0,0,0
1990,Annual,548,Area,0.018654,0.042903,0.005969,0.003731,1.446523,0,0,0,0,0,0
1990,Annual,555,Area,0.005745,0.1,0.01,0.001149,0.82,0,0,0,0,0,0
1990,Annual,562,Area,0.002896,0.005773,0.00085,0.000579,0.196261,0,0,0,0,0,0
1990,Annual,593,Area,0.000041,0.000082,0.000012,0.000008,0.002791,0,0,0,0,0,0
1990,Annual,597,Area,0.010362,0.023832,0.003316,0.002072,0.803516,0,0,0,0,0,0
1990,Annual,615,Area,0.005146,0.010258,0.00151,0.001029,0.34874,0,0,0,0,0,0
1990,Annual,619,Area,0,0,0,0,0,0,0,0,0,0,0
1990,Annual,626,Area,0.000237,0.000473,0.00007,0.000047,0.016093,0,0,0,0,0,0
1990,Annual,632,Area,0.000214,0.000428,0.000063,0.000043,0.014535,0,0,0,0,0,0
1990,Annual,639,Area,0.44,0.78,0.32,0.03,1.79,0,0,0,0,0,0
1990,Annual,646,Area,0.115475,0.651102,0.198815,0.014645,1.817811,0,0,0,0,0,0
1990,Annual,658,Area,1.8,5.68,3.89,0.31,7.78,0,0,0,0,0,0
1990,Annual,670,Area,0.000098,0,0,0.000136,0.01,0,0,0,0,0,0
1990,Annual,673,Area,0.000021,0,0,0.000048,0,0,0,0,0,0,0
1990,Annual,676,Area,0.000001,0,0,0.000001,0,0,0,0,0,0,0
1990,Annual,679,Area,0.000009,0.000049,0.000083,0,0.000131,0,0,0,0,0,0
1990,Annual,682,Area,0.01,0.04,0.02,0,0.09,0,0,0,0,0,0
1990,Annual,687,Area,0.012211,0.056787,0.028372,0.004335,0.112104,0,0,0,0,0,0
1990,Annual,694,Area,0.001647,0.008459,0.004206,0.000642,0.014731,0,0,0,0,0,0
1990,Annual,699,Area,0.00166,0.02,0,0.000861,0.02,0,0,0,0,0,0
1990,Annual,702,Area,0.000464,0.01,0,0.000213,0.01,0,0,0,0,0,0
1990,Annual,705,Area,0.000011,0,0,0.000006,0.01,0,0,0,0,0,0
1990,Annual,708,Area,0.000026,0.000133,0.000064,0.00001,0.00028,0,0,0,0,0,0
1990,Annual,711,Area,0.000102,0.003747,0.000749,0.000061,0.288531,0,0,0,0,0,0
1990,Annual,744,Area,13.796476,0,0,0,0,0,0,0,0,0,0
1990,Annual,745,Area,13.895054,0,0,0,0,0,0,0,0,0,0
1990,Annual,746,Area,3.607214,0,0,0,0,0,0,0,0,0,0
1990,Annual,747,Area,7.945961,0,0,0,0,0,0,0,0,0,0
1990,Annual,748,Area,13.858658,0,0,0,0,0,0,0,0,0,0
1990,Annual,749,Area,3.338064,0,0,0,0,0,0,0,0,0,0
1990,Annual,750,Area,0.134848,0.173193,0.049849,0,2.093653,0,0,0,0,0,0
1990,Annual,753,Area,0.063541,0.020221,0.002616,0,0.079426,0,0,0,0,0,0
1990,Annual,756,Area,5.946029,0,0,0,0,0,0,0,0,0,0
1990,Annual,757,Area,0.008353,0,0,0,0,0,0,0,0,0,0
1990,Annual,758,Area,0.541736,0,0,0,0,0,0,0,0,0,0
1990,Annual,760,Area,3.184136,5.60565,0,0,0,0,0,0,0,0,0
1990,Annual,761,Area,0,0.126354,0,0,0,0,0,0,0,0,0
1990,Annual,764,Area,11.747269,0,0,0,0,0,0,0,0,0,0
1990,Annual,765,Area,0.594038,0,0,0,0,0,0,0,0,0,0
1990,Annual,766,Area,1.337868,0.098403,0.062906,0,1.163354,0,0,0,0,0,0
1990,Annual,784,Area,0,57.043343,0,0,0,0,0,0,0,0,0
1990,Annual,785,Area,0,18.478371,0,0,0,0,0,0,0,0,0
1990,Annual,786,Area,0,19.992908,0,0,0,0,0,0,0,0,0
1990,Annual,787,Area,0,14.745668,0,0,0,0,0,0,0,0,0
1990,Annual,868,Area,0,28.734444,0,0,0,0,0,0,0,0,0
1990,Annual,898,Area,0,0.84,0,0,0,0,0,0,0,0,0
1990,Annual,935,Area,0,0.521081,0,0,0,0,0,0,0,0,0
1990,Annual,936,Area,0.2838,0.9506,10.9398,0.2674,2.1327,293.851501,0.016081,0.117928,0,0,0
1990,Annual,939,Area,0,0.232766,0,0,0,0,0,0,0,0,0
1990,Annual,940,Area,0,0.345463,0,0,0,0,0,0,0,0,0
1990,Annual,1010,Area,0,0.0596,0,0,0,0,0,0,0,0,0
1990,Annual,1011,Area,0,1.2447,0,0,0,0,0,0,0,0,0
1990,Annual,1012,Area,0,1.1499,0,0,0,0,0,0,0,0,0
1990,Annual,1014,Area,0,0.4951,0,0,0,0,0,0,0,0,0
1990,Annual,1015,Area,0,0.9718,0,0,0,0,0,0,0,0,0
1990,Annual,1016,Area,0,1.4433,0,0,0,0,0,0,0,0,0
1990,Annual,1019,Area,0,1.3834,0,0,0,0,0,0,0,0,0
1990,Annual,1020,Area,0,0.2613,0,0,0,0,0,0,0,0,0
1990,Annual,1021,Area,0,0.5211,0,0,0,0,0,0,0,0,0
1990,Annual,1022,Area,0,1.6783,0,0,0,0,0,0,0,0,0
1990,Annual,1023,Area,0,0.9578,0,0,0,0,0,0,0,0,0
1990,Annual,1026,Area,0,3.7711,0,0,0,0,0,0,0,0,0
1990,Annual,1027,Area,0,0.7993,0,0,0,0,0,0,0,0,0
1990,Annual,1028,Area,0,0.7678,0,0,0,0,0,0,0,0,0
1990,Annual,1030,Area,0,0.053,0,0,0,0,0,0,0,0,0
1990,Annual,1031,Area,0,0.4211,0,0,0,0,0,0,0,0,0
1990,Annual,1032,Area,0,0.0769,0,0,0,0,0,0,0,0,0
1990,Annual,1035,Area,0,0.4257,0,0,0,0,0,0,0,0,0
1990,Annual,1039,Area,0,0.0092,0,0,0,0,0,0,0,0,0
1990,Annual,1042,Area,0,1.4723,0,0,0,0,0,0,0,0,0
1990,Annual,1043,Area,0,3.2111,0,0,0,0,0,0,0,0,0
1990,Annual,1044,Area,0,0.144,0,0,0,0,0,0,0,0,0
1990,Annual,1045,Area,0,2.3908,0,0,0,0,0,0,0,0,0
1990,Annual,1048,Area,0,0.0119,0,0,0,0,0,0,0,0,0
1990,Annual,1049,Area,0,0.0129,0,0,0,0,0,0,0,0,0
1990,Annual,1052,Area,0,0.1248,0,0,0,0,0,0,0,0,0
1990,Annual,1053,Area,0,0.1856,0,0,0,0,0,0,0,0,0
1990,Annual,1054,Area,0,0.0031,0,0,0,0,0,0,0,0,0
