year,season,cat_id,cat_type,PM,TOG,NOx,SOx,CO,CO2,CH4,N2O,HFC,BCO2,SF6
1990,Annual,260,Point,0,0.586208,0,0,0,0,0,0,0,0,0
1990,Annual,261,Point,0,0.019387,0,0,0,0,0,0,0,0,0
1990,Annual,262,Point,0,0.179216,0,0,0,0,0,0,0,0,0
1990,Annual,263,Point,0,0.040376,0,0,0,0,0,0,0,0,0
1990,Annual,264,Point,0,0.033371,0,0,0,0,0,0,0,0,0
1990,Annual,265,Point,0,0.024315,0,0,0,0,0,0,0,0,0
1990,Annual,266,Point,0,0.006045,0,0,0,0,0,0,0,0,0
1990,Annual,267,Point,0,0.0039,0,0,0,0,0,0,0,0,0
1990,Annual,268,Point,0,1.486593,0,0,0,0,0,0,0,0,0
1990,Annual,269,Point,0,0.30019,0,0,0,0,0,0,0,0,0
1990,Annual,270,Point,0,0.071994,0,0,0,0,0,0,0,0,0
1990,Annual,271,Point,0,0.007454,0,0,0,0,0,0,0,0,0
1990,Annual,272,Point,0,1.645784,0,0,0,0,0,0,0,0,0
1990,Annual,273,Point,0,1.208957,0,0,0,0,0,0,0,0,0
1990,Annual,274,Point,0,2.923572,0,0,0,0,0,0,0,0,0
1990,Annual,275,Point,0,1.398734,0,0,0,0,0,0,0,0,0
1990,Annual,276,Point,0,0.548563,0,0,0,0,0,0,0,0,0
1990,Annual,277,Point,0,0.064804,0,0,0,0,0,0,0,0,0
1990,Annual,278,Point,0,0.097623,0,0,0,0,0,0,0,0,0
1990,Annual,279,Point,0,0.068513,0,0,0,0,0,0,0,0,0
1990,Annual,280,Point,0,1.406857,0,0,0,0,0,0,0.054639,0,0
1990,Annual,281,Point,0,0.348574,0,0,0,0,0,0,0,0,0
1990,Annual,282,Point,0.000297,1.139014,0,0,0,0,0,0,0,0,0
1990,Annual,290,Point,0.034,0.034,0.86,0.035,0.845,273.071777,0.00279,0.000041,0,0,0
1990,Annual,291,Point,0.482,1.28,9.719999,0.344,2.57,6406.946289,0.390375,0.003208,0,1.294401,0
